1059	1131	1140
785	785	792
369	369	390
465	459	611
297	304	495
759	759	807
286	286	494
297	298	354
41	573	609
510	552	637
1318	1290	1317
595	595	729
490	495	630
276	312	366
648	958	1565
299	958	1565
423	423	683
498	498	498
711	711	711
543	705	939
131	705	939
1048	1047	1056
615	615	684
828	828	837
543	519	543
524	530	621
804	804	906
960	951	960
538	540	564
375	953	648
230	953	648
391	2098	460
452	483	452
353	2808	423
89	2808	421
266	1317	428
368	2019	779
269	3185	662
160	3185	662
607	4651	616
81	1142	1024
426	3100	428
462	2769	462
335	1194	501
322	909	486
63	909	486
498	2439	831
81	2439	831
669	2560	718
255	1345	468
452	1817	721
110	908	455
79	908	455
372	931	533
375	732	1107
161	732	1107
321	1281	445
105	5226	509
501	1234	529
341	1234	554
452	1249	592
110	1249	592
785	792	792
804	855	804
648	1425	1425
299	1425	1425
297	351	354
423	492	423
459	510	459
276	366	369
1059	1059	1131
498	498	498
828	837	831
369	390	387
1048	1047	1047
951	951	951
534	534	519
436	900	974
133	900	974
93	900	974
1303	1302	1290
711	711	711
286	486	414
510	576	560
41	609	657
538	561	561
495	543	495
524	597	564
595	654	654
759	759	759
615	615	615
297	477	432
669	1296	802
341	554	1851
607	615	5010
448	591	1264
104	591	1264
353	423	2808
322	486	1203
63	486	1203
375	645	963
230	645	963
669	718	2592
372	533	1055
455	718	2531
89	418	2808
452	452	504
368	750	2814
501	526	1851
462	462	2769
110	455	1504
79	455	1504
335	498	1606
81	1024	1182
391	458	2959
269	662	4071
160	662	4071
266	427	1546
105	506	6987
426	426	3249
321	445	1692
498	831	3169
81	831	3169
375	1107	1123
160	1107	1123
255	433	1470
678	754	1305
